iter	MultiClass
303	0.01496910794
304	0.01492011422
305	0.01486508884
306	0.01480892701
307	0.01474119093
308	0.0146783781
309	0.01464325422
310	0.01457027548
311	0.01452801772
312	0.01445778599
313	0.0144161961
314	0.01436570828
315	0.01431853059
316	0.01425957695
317	0.01419589272
318	0.01416465996
319	0.01410713808
320	0.0140558742
321	0.01401766053
322	0.01397969372
323	0.01393379604
324	0.01384735746
325	0.01379843059
326	0.01376553826
327	0.01371611878
328	0.01364470403
329	0.01360968126
330	0.01355527866
331	0.01348195257
332	0.01340651444
333	0.01335551717
334	0.01330436514
335	0.0132179964
336	0.01314106774
337	0.0130908645
338	0.01303699869
339	0.01299793706
340	0.01292825552
341	0.01287607039
342	0.01282562229
343	0.01276383477
344	0.01270164968
345	0.0126493518
346	0.01262111713
347	0.01256351827
348	0.012522761
349	0.01247575373
350	0.012443109
351	0.01240264417
352	0.01236106636
353	0.01233127272
354	0.01228463887
355	0.01226266375
356	0.01220383536
357	0.01215332746
358	0.01209920922
359	0.01206600101
360	0.01201995303
361	0.01198456119
362	0.01194587638
363	0.01192423863
364	0.01189231297
365	0.01182439698
366	0.01178768764
367	0.01173390482
368	0.01167046227
369	0.01163037794
370	0.01161020782
371	0.01155039572
372	0.01150815274
373	0.01148446007
374	0.01144407351
375	0.01141713777
376	0.01136425443
377	0.01132417973
378	0.01129166213
379	0.01126046205
380	0.01122170148
381	0.01118977065
382	0.01115697557
383	0.01109483961
384	0.01107490461
385	0.01104233027
386	0.01097677956
387	0.01093976177
388	0.01090359477
389	0.01086877167
390	0.01083819747
391	0.01080629506
392	0.01077464642
393	0.01074261835
394	0.01071258033
395	0.0106615357
396	0.01060606894
397	0.01055785268
398	0.01051520446
399	0.01049663048
400	0.01046155365
401	0.01043408325
402	0.01040649938
403	0.01037328822
404	0.01033262153
405	0.01030525875
406	0.0102889795
407	0.0102516244
408	0.01022871051
409	0.01020504396
410	0.01018015277
411	0.01015424346
412	0.01013734684
413	0.01009719845
414	0.01006917739
415	0.01003284492
416	0.009995378142
417	0.009965052661
418	0.009942804183
419	0.009914557693
420	0.009882184731
421	0.009857055769
422	0.009822665562
423	0.009764891203
424	0.009717014219
425	0.009651389352
426	0.009591732093
427	0.00956422231
428	0.009539171835
429	0.009510257295
430	0.0094872044
431	0.009461854472
432	0.009418598493
433	0.009382116788
434	0.009353500458
435	0.009324731994
436	0.009285475943
437	0.009257310826
438	0.009239606335
439	0.009215951414
440	0.009192542905
441	0.00916492626
442	0.009133825493
443	0.009096920286
444	0.009067104161
445	0.009049795276
446	0.009027547753
447	0.009004495355
448	0.008986212154
449	0.008969308905
450	0.008942449618
451	0.008919974628
452	0.008889354953
453	0.008855168549
454	0.008828599703
455	0.008809863165
456	0.008790966341
457	0.008767306304
458	0.008740248184
459	0.00871822166
460	0.008706083574
461	0.008678884516
462	0.008654593149
463	0.008635609467
464	0.00861998392
465	0.008604783848
466	0.008584657797
467	0.008561028024
468	0.008527572271
469	0.008504564616
470	0.008479892037
471	0.008462172032
472	0.008442225898
473	0.008421962158
474	0.008407777786
475	0.008385851419
476	0.008369543044
477	0.008351135913
478	0.008336392939
479	0.008302997617
480	0.008267490746
481	0.008245308816
482	0.008225226344
483	0.008205944547
484	0.008174048727
485	0.00815357686
486	0.008126828683
487	0.008099756312
488	0.008078060467
489	0.008041946394
490	0.008012270006
491	0.007991151611
492	0.007970825203
493	0.007943334461
494	0.007908665005
495	0.007874699724
496	0.007857261217
497	0.007838546491
498	0.007827637188
499	0.007800400766
500	0.007790534676
501	0.007774882417
502	0.007752033065
503	0.007729748484
504	0.007703075207
505	0.007685957021
506	0.007670653019
507	0.007654784089
508	0.007626169173
509	0.007604859043
510	0.007584511642
511	0.007567439068
512	0.007546459694
513	0.007531109191
514	0.007513587719
515	0.007499452849
516	0.007486166122
517	0.007475416999
518	0.007456539031
519	0.007440278472
520	0.007419357176
521	0.007405830631
522	0.007387450677
523	0.007364301543
524	0.007347197727
525	0.007333505156
526	0.007315301325
527	0.007299370154
528	0.007271577609
529	0.007251723115
530	0.007229776231
531	0.007216853899
532	0.007200986022
533	0.007182712389
534	0.007170050344
535	0.007154438466
536	0.007138235237
537	0.007124576654
538	0.007111112304
539	0.007093083004
540	0.007082948867
541	0.007062166525
542	0.007047797693
543	0.007034654044
544	0.007017157061
545	0.007005777761
546	0.006984126005
547	0.006969255563
548	0.006956418797
549	0.006941408984
550	0.006923652393
551	0.006914791422
552	0.006900442019
553	0.0068749065
554	0.0068611759
555	0.006844285308
556	0.006834420988
557	0.00682286149
558	0.006812507374
559	0.006796674503
